"pu","threat","amount","action_cost","status"
8,2,1,2,0
9,2,1,2,0
10,2,1,2,0
11,1,1,3,0
11,2,1,4,0
12,1,1,3,0
12,2,1,3,0
13,1,1,4,0
13,2,1,2,0
14,1,1,4,0
14,2,1,2,0
16,2,1,1,0
17,2,1,1,0
19,2,1,2,0
20,2,1,2,0
21,2,1,4,0
22,1,1,2,0
23,1,1,3,0
23,2,1,3,0
24,1,1,4,0
24,2,1,2,0
25,1,1,5,0
25,2,1,2,0
26,2,1,2,0
27,2,1,2,0
28,2,1,2,0
29,2,1,2,0
30,2,1,2,0
31,1,1,1,0
31,2,1,5,0
32,2,1,4,0
33,1,1,2,0
33,2,1,3,0
34,2,1,3,0
35,1,1,4,0
35,2,1,2,0
37,2,1,2,0
38,2,1,2,0
39,2,1,2,0
40,2,1,2,0
41,1,1,1,0
41,2,1,5,0
42,1,1,2,0
42,2,1,4,0
43,1,1,2,0
43,2,1,3,0
44,1,1,3,0
44,2,1,3,0
45,1,1,4,0
45,2,1,3,0
46,1,1,5,0
46,2,1,3,0
47,2,1,3,0
48,2,1,3,0
49,2,1,3,0
50,2,1,3,0
51,1,1,1,0
51,2,1,5,0
52,1,1,2,0
52,2,1,4,0
53,1,1,2,0
53,2,1,4,0
54,1,1,3,0
54,2,1,3,0
55,1,1,4,0
55,2,1,3,0
56,1,1,5,0
56,2,1,3,0
57,1,1,7,0
57,2,1,4,0
58,2,1,4,0
59,2,1,4,0
60,2,1,4,0
61,1,1,1,0
61,2,1,4,0
62,1,1,2,0
62,2,1,4,0
63,1,1,3,0
63,2,1,3,0
64,1,1,4,0
64,2,1,3,0
65,1,1,5,0
65,2,1,3,0
66,1,1,6,0
66,2,1,4,0
67,1,1,7,0
67,2,1,4,0
68,2,1,5,0
69,2,1,5,0
70,2,1,6,0
71,1,1,2,0
72,1,1,3,0
73,1,1,4,0
74,1,1,4,0
75,1,1,5,0
76,1,1,6,0
77,1,1,7,0
78,1,1,8,0
79,2,1,7,0
80,2,1,7,0
81,1,1,3,0
82,1,1,4,0
83,1,1,5,0
84,1,1,6,0
85,1,1,6,0
86,1,1,7,0
87,1,1,8,0
88,1,1,8,0
89,1,1,9,0
90,2,1,9,0
91,1,1,5,0
92,1,1,5,0
93,1,1,6,0
94,1,1,7,0
95,1,1,8,0
96,1,1,8,0
97,1,1,9,0
98,1,1,9,0
99,1,1,9,0
100,2,1,10,0
