"id","monitoring_cost","status"
1,2,0
2,2,0
3,2,0
4,2,0
5,2,0
6,2,0
7,2,0
8,2,0
9,1,0
10,1,0
11,3,0
12,3,0
13,3,0
14,3,0
15,3,0
16,3,0
17,2,0
18,2,0
19,2,0
20,2,0
21,4,0
22,4,0
23,4,0
24,4,0
25,4,0
26,3,0
27,3,0
28,3,0
29,2,0
30,2,0
31,4,0
32,4,0
33,5,0
34,4,0
35,4,0
36,4,0
37,4,0
38,3,0
39,3,0
40,3,0
41,5,0
42,5,0
43,5,0
44,5,0
45,5,0
46,5,0
47,4,0
48,4,0
49,3,0
50,3,0
51,6,0
52,6,0
53,6,0
54,6,0
55,6,0
56,5,0
57,5,0
58,4,0
59,4,0
60,4,0
61,7,0
62,7,0
63,7,0
64,7,0
65,6,0
66,6,0
67,5,0
68,5,0
69,4,0
70,4,0
71,8,0
72,8,0
73,8,0
74,8,0
75,7,0
76,6,0
77,6,0
78,5,0
79,5,0
80,4,0
81,9,0
82,9,0
83,9,0
84,8,0
85,8,0
86,7,0
87,6,0
88,6,0
89,5,0
90,5,0
91,10,0
92,10,0
93,10,0
94,9,0
95,9,0
96,8,0
97,7,0
98,6,0
99,5,0
100,5,0
