id1,id2,boundary
6,3,1.00000000
6,7,1.00000000
18,10,1.00000000
18,11,1.00000000
19,12,1.00000000
19,18,1.00000000
21,4,1.00000000
21,24,1.00000000
22,9,1.00000000
22,20,1.00000000
29,13,1.00000000
29,15,1.00000000
30,14,1.00000000
30,26,1.00000000
34,22,1.00000000
34,35,1.00000000
35,29,1.00000000
35,38,1.00000000
36,16,1.00000000
36,37,1.00000000
38,40,1.00000000
38,45,1.00000000
40,23,1.00000000
40,46,1.00000000
46,31,1.00000000
46,50,1.00000000
47,25,1.00000000
47,27,1.00000000
48,32,1.00000000
48,39,1.00000000
49,41,1.00000000
49,48,1.00000000
50,56,1.00000000
50,58,1.00000000
51,17,1.00000000
51,30,1.00000000
52,2,1.00000000
52,33,1.00000000
53,34,1.00000000
53,54,1.00000000
55,44,1.00000000
55,53,1.00000000
56,36,1.00000000
56,57,1.00000000
60,64,1.00000000
60,65,1.00000000
62,19,1.00000000
62,60,1.00000000
65,55,1.00000000
65,66,1.00000000
67,51,1.00000000
67,62,1.00000000
69,5,1.00000000
69,28,1.00000000
70,21,1.00000000
70,71,1.00000000
72,43,1.00000000
72,67,1.00000000
73,6,1.00000000
73,68,1.00000000
77,52,1.00000000
77,73,1.00000000
78,74,1.00000000
78,82,1.00000000
80,61,1.00000000
80,79,1.00000000
84,85,1.00000000
84,87,1.00000000
85,78,1.00000000
85,90,1.00000000
86,81,1.00000000
86,84,1.00000000
92,86,1.00000000
92,93,1.00000000
95,47,1.00000000
95,70,1.00000000
98,42,1.00000000
98,99,1.00000000
99,8,1.00000000
99,102,1.00000000
100,49,1.00000000
100,88,1.00000000
101,80,1.00000000
101,91,1.00000000
102,94,1.00000000
102,95,1.00000000
103,72,1.00000000
103,101,1.00000000
104,126,1.00000000
104,139,1.00000000
106,76,1.00000000
106,77,1.00000000
110,75,1.00000000
110,111,1.00000000
115,98,1.00000000
115,112,1.00000000
116,92,1.00000000
116,114,1.00000000
118,121,1.00000000
118,122,1.00000000
120,83,1.00000000
120,100,1.00000000
122,136,1.00000000
122,141,1.00000000
124,69,1.00000000
124,131,1.00000000
125,108,1.00000000
125,117,1.00000000
126,97,1.00000000
126,127,1.00000000
128,119,1.00000000
128,125,1.00000000
129,146,1.00000000
129,171,1.00000000
131,115,1.00000000
131,132,1.00000000
134,129,1.00000000
134,142,1.00000000
136,104,1.00000000
136,134,1.00000000
137,110,1.00000000
137,124,1.00000000
142,166,1.00000000
142,167,1.00000000
144,103,1.00000000
144,116,1.00000000
147,137,1.00000000
147,150,1.00000000
154,133,1.00000000
154,156,1.00000000
155,145,1.00000000
155,149,1.00000000
156,128,1.00000000
156,161,1.00000000
158,106,1.00000000
158,130,1.00000000
159,120,1.00000000
159,152,1.00000000
161,107,1.00000000
161,157,1.00000000
162,143,1.00000000
162,147,1.00000000
163,154,1.00000000
163,164,1.00000000
166,230,1.00000000
167,195,1.00000000
169,158,1.00000000
169,170,1.00000000
170,159,1.00000000
170,162,1.00000000
171,169,1.00000000
171,173,1.00000000
173,215,1.00000000
173,216,1.00000000
177,140,1.00000000
177,144,1.00000000
179,163,1.00000000
179,176,1.00000000
182,135,1.00000000
182,160,1.00000000
183,174,1.00000000
183,179,1.00000000
188,183,1.00000000
188,186,1.00000000
189,182,1.00000000
189,187,1.00000000
190,89,1.00000000
190,113,1.00000000
191,177,1.00000000
191,188,1.00000000
194,185,1.00000000
194,196,1.00000000
195,199,1.00000000
195,213,1.00000000
196,212,1.00000000
196,240,1.00000000
198,194,1.00000000
198,211,1.00000000
200,138,1.00000000
200,175,1.00000000
201,184,1.00000000
201,202,1.00000000
202,197,1.00000000
202,218,1.00000000
206,155,1.00000000
206,207,1.00000000
207,165,1.00000000
207,208,1.00000000
208,180,1.00000000
208,224,1.00000000
209,168,1.00000000
209,204,1.00000000
210,191,1.00000000
210,192,1.00000000
215,231,1.00000000
217,178,1.00000000
217,206,1.00000000
221,235,1.00000000
221,238,1.00000000
223,217,1.00000000
223,221,1.00000000
224,189,1.00000000
224,201,1.00000000
225,153,1.00000000
225,220,1.00000000
227,172,1.00000000
227,228,1.00000000
228,214,1.00000000
231,225,1.00000000
231,232,1.00000000
234,193,1.00000000
234,223,1.00000000
237,234,1.00000000
237,239,1.00000000
19,10,0.70710678
19,11,0.70710678
34,9,0.70710678
34,20,0.70710678
34,29,0.70710678
34,38,0.70710678
35,13,0.70710678
35,15,0.70710678
35,40,0.70710678
35,45,0.70710678
38,23,0.70710678
38,46,0.70710678
40,31,0.70710678
40,50,0.70710678
46,56,0.70710678
46,58,0.70710678
49,32,0.70710678
49,39,0.70710678
50,36,0.70710678
50,57,0.70710678
51,14,0.70710678
51,26,0.70710678
53,22,0.70710678
53,35,0.70710678
55,34,0.70710678
55,54,0.70710678
56,16,0.70710678
56,37,0.70710678
60,55,0.70710678
60,66,0.70710678
62,12,0.70710678
62,18,0.70710678
62,64,0.70710678
62,65,0.70710678
65,44,0.70710678
65,53,0.70710678
67,17,0.70710678
67,19,0.70710678
67,30,0.70710678
67,60,0.70710678
70,4,0.70710678
70,24,0.70710678
72,51,0.70710678
72,62,0.70710678
73,3,0.70710678
73,7,0.70710678
77,2,0.70710678
77,6,0.70710678
77,33,0.70710678
77,68,0.70710678
84,78,0.70710678
84,90,0.70710678
85,74,0.70710678
85,82,0.70710678
86,85,0.70710678
86,87,0.70710678
92,81,0.70710678
92,84,0.70710678
95,21,0.70710678
95,25,0.70710678
95,27,0.70710678
95,71,0.70710678
98,8,0.70710678
98,102,0.70710678
99,94,0.70710678
99,95,0.70710678
100,41,0.70710678
100,48,0.70710678
101,61,0.70710678
101,79,0.70710678
102,47,0.70710678
102,70,0.70710678
103,43,0.70710678
103,67,0.70710678
103,80,0.70710678
103,91,0.70710678
104,97,0.70710678
104,127,0.70710678
106,52,0.70710678
106,73,0.70710678
115,42,0.70710678
115,99,0.70710678
116,86,0.70710678
116,93,0.70710678
118,136,0.70710678
118,141,0.70710678
120,49,0.70710678
120,88,0.70710678
122,104,0.70710678
122,134,0.70710678
124,5,0.70710678
124,28,0.70710678
124,115,0.70710678
124,132,0.70710678
128,108,0.70710678
128,117,0.70710678
129,169,0.70710678
129,173,0.70710678
131,98,0.70710678
131,112,0.70710678
134,146,0.70710678
134,166,0.70710678
134,167,0.70710678
134,171,0.70710678
136,126,0.70710678
136,129,0.70710678
136,139,0.70710678
136,142,0.70710678
137,69,0.70710678
137,75,0.70710678
137,111,0.70710678
137,131,0.70710678
142,195,0.70710678
142,230,0.70710678
144,72,0.70710678
144,92,0.70710678
144,101,0.70710678
144,114,0.70710678
147,110,0.70710678
147,124,0.70710678
154,128,0.70710678
154,161,0.70710678
156,107,0.70710678
156,119,0.70710678
156,125,0.70710678
156,157,0.70710678
158,76,0.70710678
158,77,0.70710678
159,83,0.70710678
159,100,0.70710678
162,137,0.70710678
162,150,0.70710678
163,133,0.70710678
163,156,0.70710678
167,199,0.70710678
167,213,0.70710678
169,106,0.70710678
169,130,0.70710678
169,159,0.70710678
169,162,0.70710678
170,120,0.70710678
170,143,0.70710678
170,147,0.70710678
170,152,0.70710678
171,158,0.70710678
171,170,0.70710678
171,215,0.70710678
171,216,0.70710678
173,231,0.70710678
177,103,0.70710678
177,116,0.70710678
179,154,0.70710678
179,164,0.70710678
183,163,0.70710678
183,176,0.70710678
188,174,0.70710678
188,179,0.70710678
189,135,0.70710678
189,160,0.70710678
191,140,0.70710678
191,144,0.70710678
191,183,0.70710678
191,186,0.70710678
194,212,0.70710678
194,240,0.70710678
198,185,0.70710678
198,196,0.70710678
201,197,0.70710678
201,218,0.70710678
206,145,0.70710678
206,149,0.70710678
206,165,0.70710678
206,208,0.70710678
207,180,0.70710678
207,224,0.70710678
208,189,0.70710678
208,201,0.70710678
210,177,0.70710678
210,188,0.70710678
215,225,0.70710678
215,232,0.70710678
217,155,0.70710678
217,207,0.70710678
223,178,0.70710678
223,206,0.70710678
223,235,0.70710678
223,238,0.70710678
224,182,0.70710678
224,184,0.70710678
224,187,0.70710678
224,202,0.70710678
227,214,0.70710678
231,153,0.70710678
231,220,0.70710678
232,227,0.70710678
234,217,0.70710678
234,221,0.70710678
237,193,0.70710678
237,223,0.70710678
34,13,0.57735027
34,15,0.57735027
34,40,0.57735027
34,45,0.57735027
35,23,0.57735027
35,46,0.57735027
38,31,0.57735027
38,50,0.57735027
40,56,0.57735027
40,58,0.57735027
46,36,0.57735027
46,57,0.57735027
50,16,0.57735027
50,37,0.57735027
53,9,0.57735027
53,20,0.57735027
53,29,0.57735027
53,38,0.57735027
55,22,0.57735027
55,35,0.57735027
60,44,0.57735027
60,53,0.57735027
62,10,0.57735027
62,11,0.57735027
62,55,0.57735027
62,66,0.57735027
65,34,0.57735027
65,54,0.57735027
67,12,0.57735027
67,14,0.57735027
67,18,0.57735027
67,26,0.57735027
67,64,0.57735027
67,65,0.57735027
72,17,0.57735027
72,19,0.57735027
72,30,0.57735027
72,60,0.57735027
77,3,0.57735027
77,7,0.57735027
84,74,0.57735027
84,82,0.57735027
86,78,0.57735027
86,90,0.57735027
92,85,0.57735027
92,87,0.57735027
95,4,0.57735027
95,24,0.57735027
98,94,0.57735027
98,95,0.57735027
99,47,0.57735027
99,70,0.57735027
100,32,0.57735027
100,39,0.57735027
102,21,0.57735027
102,25,0.57735027
102,27,0.57735027
102,71,0.57735027
103,51,0.57735027
103,61,0.57735027
103,62,0.57735027
103,79,0.57735027
106,2,0.57735027
106,6,0.57735027
106,33,0.57735027
106,68,0.57735027
115,8,0.57735027
115,102,0.57735027
116,81,0.57735027
116,84,0.57735027
118,104,0.57735027
118,134,0.57735027
