"pu","feature","amount"
1,3,1
2,3,1
3,3,1
4,3,1
5,3,1
6,3,1
7,2,1
7,3,1
8,2,1
8,3,1
9,2,1
9,3,1
10,2,1
10,3,1
11,1,1
11,3,1
12,3,1
13,3,1
14,3,1
15,3,1
16,3,1
17,2,1
17,3,1
18,2,1
18,3,1
19,2,1
19,3,1
20,2,1
20,3,1
21,1,1
21,3,1
22,1,1
22,3,1
23,3,1
24,3,1
25,3,1
26,3,1
27,2,1
27,3,1
28,2,1
28,3,1
29,2,1
29,3,1
30,2,1
30,3,1
31,1,1
31,3,1
32,1,1
32,3,1
33,3,1
34,3,1
35,3,1
36,3,1
37,3,1
38,2,1
38,3,1
39,2,1
39,3,1
40,2,1
40,3,1
41,1,1
41,3,1
42,1,1
42,3,1
43,1,1
43,3,1
44,3,1
45,3,1
46,3,1
47,3,1
48,2,1
48,3,1
49,2,1
49,3,1
50,2,1
50,3,1
51,1,1
51,3,1
52,1,1
52,3,1
53,1,1
53,3,1
54,1,1
54,3,1
55,3,1
56,3,1
56,4,1
57,3,1
57,4,1
58,2,1
58,3,1
58,4,1
59,2,1
59,3,1
59,4,1
60,1,1
60,2,1
60,3,1
60,4,1
61,1,1
61,3,1
62,1,1
62,3,1
63,1,1
63,3,1
64,1,1
64,3,1
65,3,1
65,4,1
66,3,1
66,4,1
67,4,1
68,2,1
68,4,1
69,1,1
69,2,1
69,4,1
70,1,1
70,2,1
70,4,1
71,1,1
72,1,1
73,1,1
74,1,1
74,4,1
75,1,1
75,4,1
76,4,1
77,4,1
78,1,1
78,4,1
79,1,1
79,2,1
79,4,1
80,1,1
80,2,1
80,4,1
81,1,1
82,1,1
83,1,1
84,1,1
84,4,1
85,1,1
85,4,1
86,1,1
86,4,1
87,1,1
87,4,1
88,1,1
88,4,1
89,1,1
89,2,1
89,4,1
90,1,1
90,2,1
90,4,1
91,1,1
92,1,1
93,1,1
93,4,1
94,1,1
94,4,1
95,1,1
95,4,1
96,1,1
96,4,1
97,1,1
97,4,1
98,1,1
98,4,1
99,1,1
99,2,1
99,4,1
100,1,1
100,2,1
100,4,1
