id,cost,status
1,3,0
2,4,0
3,3,0
4,3,0
5,3,0
6,3,0
7,3,0
8,3,0
9,3,0
10,3,0
11,3,0
12,3,0
13,3,0
14,3,0
15,3,0
16,3,0
17,3,0
18,3,0
19,3,0
20,3,0
21,3,0
22,3,0
23,3,0
24,3,0
25,3,0
26,3,0
27,3,0
28,3,0
29,3,0
30,3,0
31,3,0
32,3,0
33,3,0
34,3,0
35,3,0
36,3,0
37,3,0
38,3,0
39,3,0
40,3,0
41,3,0
42,3,0
43,3,0
44,3,0
45,3,0
46,3,0
47,3,0
48,3,0
49,3,0
50,3,0
51,3,0
52,4,0
53,3,0
54,3,0
55,3,0
56,3,0
57,3,0
58,3,0
59,5,0
60,3,0
61,3,0
62,3,0
63,5,0
64,3,0
65,3,0
66,3,0
67,3,0
68,3,0
69,3,0
70,3,0
71,3,0
72,3,0
73,3,0
74,3,0
75,3,0
76,3,0
77,3,0
78,3,0
79,3,0
80,3,0
81,3,0
82,3,0
83,3,0
84,3,0
85,3,0
86,3,0
87,3,0
88,3,0
89,3,0
90,3,0
91,3,0
92,3,0
93,3,0
94,3,0
95,3,0
96,4,0
97,4,0
98,3,0
99,3,0
100,3,0
101,3,0
102,3,0
103,3,0
104,5,0
105,5,0
106,3,0
107,3,0
108,3,0
109,5,0
110,3,0
111,3,0
112,3,0
113,3,0
114,3,0
115,3,0
116,3,0
117,3,0
118,5,0
119,3,0
120,3,0
121,5,0
122,5,0
123,5,0
124,3,0
125,3,0
126,4,0
127,3,0
128,3,0
129,5,0
130,3,0
131,3,0
132,3,0
133,3,0
134,5,0
135,3,0
136,5,0
137,3,0
138,3,0
139,3,0
140,3,0
141,5,0
142,4,0
143,3,0
144,3,0
145,3,0
146,4,0
147,3,0
148,3,0
149,3,0
150,3,0
151,4,0
152,3,0
153,4,0
154,4,0
155,3,0
156,3,0
157,3,0
158,3,0
159,3,0
160,3,0
161,3,0
162,4,0
163,4,0
164,3,0
165,3,0
166,4,0
167,4,0
168,3,0
169,4,0
170,4,0
171,4,0
172,3,0
173,4,0
174,4,0
175,3,0
176,4,0
177,4,0
178,3,0
179,4,0
180,3,0
181,3,0
182,3,0
183,4,0
184,3,0
185,5,0
186,4,0
187,3,0
188,4,0
189,3,0
190,4,0
191,4,0
192,4,0
193,3,0
194,5,0
195,3,0
196,5,0
197,3,0
198,5,0
199,4,0
200,3,0
201,3,0
202,3,0
203,4,0
204,3,0
205,3,0
206,3,0
207,3,0
208,3,0
209,3,0
210,4,0
211,5,0
212,5,0
213,4,0
214,3,0
215,4,0
216,4,0
217,3,0
218,3,0
219,3,0
220,4,0
221,3,0
222,3,0
223,3,0
224,4,0
225,3,0
226,3,0
227,4,0
228,3,0
229,4,0
230,4,0
231,4,0
232,4,0
233,3,0
234,3,0
235,4,0
236,3,0
237,3,0
238,3,0
239,3,0
240,5,0
