pu,species,amount
1,1,1
1,7,1
1,8,1
1,9,1
2,1,1
2,2,1
2,3,1
2,4,1
2,5,1
2,6,1
2,7,1
2,8,1
2,9,1
2,10,1
3,1,1
3,3,1
3,7,1
3,8,1
3,9,1
4,1,1
4,7,1
4,8,1
4,9,1
5,1,1
5,3,1
5,7,1
5,8,1
5,9,1
6,1,1
6,3,1
6,7,1
6,8,1
6,9,1
7,1,1
7,3,1
7,7,1
8,1,1
8,2,1
8,3,1
8,4,1
8,6,1
8,7,1
8,8,1
8,9,1
9,7,1
9,9,1
10,7,1
11,7,1
11,9,1
12,7,1
13,2,1
13,7,1
13,9,1
14,1,1
14,7,1
15,2,1
15,7,1
15,9,1
15,10,1
16,7,1
16,10,1
17,1,1
17,2,1
17,4,1
17,7,1
17,8,1
17,9,1
17,10,1
18,1,1
18,2,1
18,7,1
18,9,1
19,1,1
19,2,1
19,4,1
19,7,1
19,9,1
19,10,1
20,7,1
21,1,1
21,3,1
21,7,1
21,8,1
21,9,1
22,1,1
22,2,1
22,7,1
22,9,1
22,10,1
23,2,1
23,7,1
23,9,1
23,10,1
24,1,1
24,7,1
24,9,1
25,1,1
25,7,1
25,8,1
25,9,1
26,1,1
26,7,1
26,9,1
27,1,1
27,3,1
27,7,1
27,8,1
27,9,1
28,1,1
28,2,1
28,3,1
28,7,1
28,8,1
28,9,1
29,2,1
29,7,1
29,9,1
29,10,1
30,1,1
30,7,1
30,9,1
31,2,1
31,7,1
31,9,1
31,10,1
32,1,1
32,3,1
32,7,1
32,8,1
32,9,1
33,1,1
33,9,1
34,1,1
34,2,1
34,7,1
34,9,1
34,10,1
35,2,1
35,7,1
35,9,1
35,10,1
36,2,1
36,7,1
36,10,1
37,7,1
37,10,1
38,2,1
38,7,1
38,10,1
39,1,1
39,3,1
39,7,1
39,9,1
40,2,1
40,7,1
40,9,1
40,10,1
41,1,1
41,3,1
41,7,1
41,9,1
42,1,1
42,2,1
42,3,1
42,7,1
42,8,1
42,9,1
43,1,1
43,2,1
43,4,1
43,5,1
43,6,1
43,7,1
43,8,1
43,9,1
43,10,1
44,1,1
44,2,1
44,7,1
44,9,1
44,10,1
45,2,1
45,7,1
45,10,1
46,2,1
46,7,1
46,9,1
