"id","down","distance"
1,-1,-1
2,52,52
2,77,129
2,106,235
2,158,393
2,169,562
2,171,733
2,129,862
2,134,996
2,136,1132
2,122,1254
2,118,1372
2,-1,1371
3,6,6
3,73,79
3,77,156
3,106,262
3,158,420
3,169,589
3,171,760
3,129,889
3,134,1023
3,136,1159
3,122,1281
3,118,1399
3,-1,1398
4,21,21
4,70,91
4,95,186
4,102,288
4,99,387
4,98,485
4,115,600
4,131,731
4,124,855
4,137,992
4,147,1139
4,162,1301
4,170,1471
4,169,1640
4,171,1811
4,129,1940
4,134,2074
4,136,2210
4,122,2332
4,118,2450
4,-1,2449
5,69,69
5,124,193
5,137,330
5,147,477
5,162,639
5,170,809
5,169,978
5,171,1149
5,129,1278
5,134,1412
5,136,1548
5,122,1670
5,118,1788
5,-1,1787
6,73,73
6,77,150
6,106,256
6,158,414
6,169,583
6,171,754
6,129,883
6,134,1017
6,136,1153
6,122,1275
6,118,1393
6,-1,1392
7,6,6
7,73,79
7,77,156
7,106,262
7,158,420
7,169,589
7,171,760
7,129,889
7,134,1023
7,136,1159
7,122,1281
7,118,1399
7,-1,1398
8,99,99
8,98,197
8,115,312
8,131,443
8,124,567
8,137,704
8,147,851
8,162,1013
8,170,1183
8,169,1352
8,171,1523
8,129,1652
8,134,1786
8,136,1922
8,122,2044
8,118,2162
8,-1,2161
9,22,22
9,34,56
9,53,109
9,55,164
9,65,229
9,60,289
9,62,351
9,67,418
9,72,490
9,103,593
9,144,737
9,177,914
9,191,1105
9,210,1315
9,263,1578
9,270,1848
9,272,2120
9,305,2425
9,321,2746
9,332,3078
9,339,3417
9,329,3746
9,328,4074
9,373,4447
9,422,4869
9,435,5304
9,425,5729
9,399,6128
9,382,6510
9,354,6864
9,291,7155
9,269,7424
9,253,7677
9,248,7925
9,242,8167
9,232,8399
9,231,8630
9,215,8845
9,173,9018
9,171,9189
9,129,9318
9,134,9452
9,136,9588
9,122,9710
9,118,9828
9,-1,9827
10,18,18
10,19,37
10,62,99
10,67,166
10,72,238
10,103,341
10,144,485
10,177,662
10,191,853
10,210,1063
10,263,1326
10,270,1596
10,272,1868
10,305,2173
10,321,2494
10,332,2826
10,339,3165
10,329,3494
10,328,3822
