"pu","threats","amount","cost","status","threat1","threat2","threat3","threat4"
"1","2","1","1","0","0","1","0","0"
"1","4","1","1","0","0","0","0","1"
"2","2","1","1","0","0","1","0","0"
"2","3","1","1","0","0","0","1","0"
"2","4","1","1","0","0","0","0","1"
"3","2","1","1","0","0","1","0","0"
"3","4","1","1","0","0","0","0","1"
"4","2","1","1","0","0","1","0","0"
"4","4","1","1","0","0","0","0","1"
"5","2","1","1","0","0","1","0","0"
"5","4","1","1","0","0","0","0","1"
"6","2","1","1","0","0","1","0","0"
"6","4","1","1","0","0","0","0","1"
"7","2","1","1","0","0","1","0","0"
"7","4","1","1","0","0","0","0","1"
"8","2","1","1","0","0","1","0","0"
"8","4","1","1","0","0","0","0","1"
"9","2","1","1","0","0","1","0","0"
"9","4","1","1","0","0","0","0","1"
"10","2","1","1","0","0","1","0","0"
"10","4","1","1","0","0","0","0","1"
"11","2","1","1","0","0","1","0","0"
"11","4","1","1","0","0","0","0","1"
"12","2","1","1","0","0","1","0","0"
"12","4","1","1","0","0","0","0","1"
"13","2","1","1","0","0","1","0","0"
"13","4","1","1","0","0","0","0","1"
"14","2","1","1","0","0","1","0","0"
"14","4","1","1","0","0","0","0","1"
"15","2","1","1","0","0","1","0","0"
"15","4","1","1","0","0","0","0","1"
"16","2","1","1","0","0","1","0","0"
"16","4","1","1","0","0","0","0","1"
"17","2","1","1","0","0","1","0","0"
"17","4","1","1","0","0","0","0","1"
"18","2","1","1","0","0","1","0","0"
"18","4","1","1","0","0","0","0","1"
"19","2","1","1","0","0","1","0","0"
"19","4","1","1","0","0","0","0","1"
"20","2","1","1","0","0","1","0","0"
"20","4","1","1","0","0","0","0","1"
"21","2","1","1","0","0","1","0","0"
"21","4","1","1","0","0","0","0","1"
"22","2","1","1","0","0","1","0","0"
"22","4","1","1","0","0","0","0","1"
"23","2","1","1","0","0","1","0","0"
"23","4","1","1","0","0","0","0","1"
"24","2","1","1","0","0","1","0","0"
"24","4","1","1","0","0","0","0","1"
"25","2","1","1","0","0","1","0","0"
"25","4","1","1","0","0","0","0","1"
"26","2","1","1","0","0","1","0","0"
"26","4","1","1","0","0","0","0","1"
"27","2","1","1","0","0","1","0","0"
"27","4","1","1","0","0","0","0","1"
"28","2","1","1","0","0","1","0","0"
"28","4","1","1","0","0","0","0","1"
"29","2","1","1","0","0","1","0","0"
"29","4","1","1","0","0","0","0","1"
"30","2","1","1","0","0","1","0","0"
"30","4","1","1","0","0","0","0","1"
"31","2","1","1","0","0","1","0","0"
"31","4","1","1","0","0","0","0","1"
"32","2","1","1","0","0","1","0","0"
"32","4","1","1","0","0","0","0","1"
"33","2","1","1","0","0","1","0","0"
"33","4","1","1","0","0","0","0","1"
"34","2","1","1","0","0","1","0","0"
"34","4","1","1","0","0","0","0","1"
"35","2","1","1","0","0","1","0","0"
"35","4","1","1","0","0","0","0","1"
"36","2","1","1","0","0","1","0","0"
"36","4","1","1","0","0","0","0","1"
"37","2","1","1","0","0","1","0","0"
"37","4","1","1","0","0","0","0","1"
"38","2","1","1","0","0","1","0","0"
"38","4","1","1","0","0","0","0","1"
"39","2","1","1","0","0","1","0","0"
"39","4","1","1","0","0","0","0","1"
"40","2","1","1","0","0","1","0","0"
"40","4","1","1","0","0","0","0","1"
"41","2","1","1","0","0","1","0","0"
"41","4","1","1","0","0","0","0","1"
"42","2","1","1","0","0","1","0","0"
"42","4","1","1","0","0","0","0","1"
"43","2","1","1","0","0","1","0","0"
"43","4","1","1","0","0","0","0","1"
"44","2","1","1","0","0","1","0","0"
"44","4","1","1","0","0","0","0","1"
"45","2","1","1","0","0","1","0","0"
"45","4","1","1","0","0","0","0","1"
"46","2","1","1","0","0","1","0","0"
"46","4","1","1","0","0","0","0","1"
"47","2","1","1","0","0","1","0","0"
"47","4","1","1","0","0","0","0","1"
"48","2","1","1","0","0","1","0","0"
"48","4","1","1","0","0","0","0","1"
"49","2","1","1","0","0","1","0","0"
"49","4","1","1","0","0","0","0","1"
"50","2","1","1","0","0","1","0","0"
"50","4","1","1","0","0","0","0","1"
"51","2","1","1","0","0","1","0","0"
"51","4","1","1","0","0","0","0","1"
"52","2","1","1","0","0","1","0","0"
"52","3","1","1","0","0","0","1","0"
"52","4","1","1","0","0","0","0","1"
"53","2","1","1","0","0","1","0","0"
"53","4","1","1","0","0","0","0","1"
"54","2","1","1","0","0","1","0","0"
"54","4","1","1","0","0","0","0","1"
"55","2","1","1","0","0","1","0","0"
"55","4","1","1","0","0","0","0","1"
"56","2","1","1","0","0","1","0","0"
"56","4","1","1","0","0","0","0","1"
"57","2","1","1","0","0","1","0","0"
"57","4","1","1","0","0","0","0","1"
"58","2","1","1","0","0","1","0","0"
"58","4","1","1","0","0","0","0","1"
"59","1","1","1","0","1","0","0","0"
"59","2","1","1","0","0","1","0","0"
"59","3","1","1","0","0","0","1","0"
"59","4","1","1","0","0","0","0","1"
"60","2","1","1","0","0","1","0","0"
"60","4","1","1","0","0","0","0","1"
"61","2","1","1","0","0","1","0","0"
"61","4","1","1","0","0","0","0","1"
"62","2","1","1","0","0","1","0","0"
"62","4","1","1","0","0","0","0","1"
"63","1","1","1","0","1","0","0","0"
"63","2","1","1","0","0","1","0","0"
"63","3","1","1","0","0","0","1","0"
"63","4","1","1","0","0","0","0","1"
"64","2","1","1","0","0","1","0","0"
"64","4","1","1","0","0","0","0","1"
"65","2","1","1","0","0","1","0","0"
"65","4","1","1","0","0","0","0","1"
"66","2","1","1","0","0","1","0","0"
"66","4","1","1","0","0","0","0","1"
"67","2","1","1","0","0","1","0","0"
"67","4","1","1","0","0","0","0","1"
"68","2","1","1","0","0","1","0","0"
"68","4","1","1","0","0","0","0","1"
"69","2","1","1","0","0","1","0","0"
"69","4","1","1","0","0","0","0","1"
"70","2","1","1","0","0","1","0","0"
"70","4","1","1","0","0","0","0","1"
"71","2","1","1","0","0","1","0","0"
"71","4","1","1","0","0","0","0","1"
"72","2","1","1","0","0","1","0","0"
"72","4","1","1","0","0","0","0","1"
"73","2","1","1","0","0","1","0","0"
"73","4","1","1","0","0","0","0","1"
"74","2","1","1","0","0","1","0","0"
"74","4","1","1","0","0","0","0","1"
"75","2","1","1","0","0","1","0","0"
"75","4","1","1","0","0","0","0","1"
"76","2","1","1","0","0","1","0","0"
"76","4","1","1","0","0","0","0","1"
"77","2","1","1","0","0","1","0","0"
"77","4","1","1","0","0","0","0","1"
"78","2","1","1","0","0","1","0","0"
"78","4","1","1","0","0","0","0","1"
"79","2","1","1","0","0","1","0","0"
"79","4","1","1","0","0","0","0","1"
"80","2","1","1","0","0","1","0","0"
"80","4","1","1","0","0","0","0","1"
"81","2","1","1","0","0","1","0","0"
"81","4","1","1","0","0","0","0","1"
"82","2","1","1","0","0","1","0","0"
"82","4","1","1","0","0","0","0","1"
"83","2","1","1","0","0","1","0","0"
"83","4","1","1","0","0","0","0","1"
"84","2","1","1","0","0","1","0","0"
"84","4","1","1","0","0","0","0","1"
"85","2","1","1","0","0","1","0","0"
"85","4","1","1","0","0","0","0","1"
"86","2","1","1","0","0","1","0","0"
"86","4","1","1","0","0","0","0","1"
"87","2","1","1","0","0","1","0","0"
"87","4","1","1","0","0","0","0","1"
"88","2","1","1","0","0","1","0","0"
"88","4","1","1","0","0","0","0","1"
"89","2","1","1","0","0","1","0","0"
"89","4","1","1","0","0","0","0","1"
"90","2","1","1","0","0","1","0","0"
"90","4","1","1","0","0","0","0","1"
"91","2","1","1","0","0","1","0","0"
"91","4","1","1","0","0","0","0","1"
"92","2","1","1","0","0","1","0","0"
"92","4","1","1","0","0","0","0","1"
"93","2","1","1","0","0","1","0","0"
"93","4","1","1","0","0","0","0","1"
"94","2","1","1","0","0","1","0","0"
"94","4","1","1","0","0","0","0","1"
"95","2","1","1","0","0","1","0","0"
"95","4","1","1","0","0","0","0","1"
"96","2","1","1","0","0","1","0","0"
"96","3","1","1","0","0","0","1","0"
"96","4","1","1","0","0","0","0","1"
"97","2","1","1","0","0","1","0","0"
"97","3","1","1","0","0","0","1","0"
"97","4","1","1","0","0","0","0","1"
"98","2","1","1","0","0","1","0","0"
"98","4","1","1","0","0","0","0","1"
"99","2","1","1","0","0","1","0","0"
"99","4","1","1","0","0","0","0","1"
"100","2","1","1","0","0","1","0","0"
"100","4","1","1","0","0","0","0","1"
"101","2","1","1","0","0","1","0","0"
"101","4","1","1","0","0","0","0","1"
"102","2","1","1","0","0","1","0","0"
"102","4","1","1","0","0","0","0","1"
"103","2","1","1","0","0","1","0","0"
"103","4","1","1","0","0","0","0","1"
"104","1","1","1","0","1","0","0","0"
"104","2","1","1","0","0","1","0","0"
"104","3","1","1","0","0","0","1","0"
"104","4","1","1","0","0","0","0","1"
"105","1","1","1","0","1","0","0","0"
"105","2","1","1","0","0","1","0","0"
"105","3","1","1","0","0","0","1","0"
"105","4","1","1","0","0","0","0","1"
"106","2","1","1","0","0","1","0","0"
"106","4","1","1","0","0","0","0","1"
"107","2","1","1","0","0","1","0","0"
"107","4","1","1","0","0","0","0","1"
"108","2","1","1","0","0","1","0","0"
"108","4","1","1","0","0","0","0","1"
"109","1","1","1","0","1","0","0","0"
"109","2","1","1","0","0","1","0","0"
"109","3","1","1","0","0","0","1","0"
"109","4","1","1","0","0","0","0","1"
"110","2","1","1","0","0","1","0","0"
"110","4","1","1","0","0","0","0","1"
"111","2","1","1","0","0","1","0","0"
"111","4","1","1","0","0","0","0","1"
"112","2","1","1","0","0","1","0","0"
"112","4","1","1","0","0","0","0","1"
"113","2","1","1","0","0","1","0","0"
"113","4","1","1","0","0","0","0","1"
"114","2","1","1","0","0","1","0","0"
"114","4","1","1","0","0","0","0","1"
"115","2","1","1","0","0","1","0","0"
"115","4","1","1","0","0","0","0","1"
"116","2","1","1","0","0","1","0","0"
"116","4","1","1","0","0","0","0","1"
